cuisine,zipcode,count
American,11691,35
American,10271,28
American,10279,25
American,10280,11
American,10281,138
American,10282,114
American,10285,20
American,10301,498
American,10302,137
American,10303,101
American,10304,148
American,10305,252
American,10306,314
American,10307,93
American,10308,94
American,10309,253
American,10310,259
American,10311,21
American,10312,234
American,10314,748
American,11354,380
American,11355,119
American,11356,91
American,11357,100
American,11358,205
American,11360,114
American,11361,364
American,11362,42
American,11363,48
American,11364,96
American,11365,121
American,11366,36
American,11367,50
American,11368,424
American,11369,318
American,11370,66
American,11371,114
American,11372,346
American,11373,302
American,11374,227
American,11375,487
American,11377,378
American,11378,284
American,11379,48
American,11385,777
American,10179,5
American,11412,33
American,11413,53
American,11414,131
American,11415,160
American,11416,129
American,11417,243
American,11418,221
American,11419,144
American,11420,254
American,11421,160
American,11422,157
American,11423,20
American,11426,144
American,11427,49
American,11428,16
American,11429,35
American,11430,900
American,11432,427
American,11433,53
American,11434,207
American,11435,349
American,11436,96
American,11451,32
American,11040,128
American,10451,672
American,10452,159
American,10453,66
American,10454,223
American,10455,84
American,10456,90
American,10457,190
American,10458,380
American,10459,110
American,10460,131
American,10461,445
American,10462,428
American,10463,460
American,10464,132
American,10465,374
American,10466,132
American,10467,193
American,10468,230
American,10469,178
American,10470,116
American,10471,241
American,10472,133
American,10473,87
American,10474,144
American,10475,184
American,11001,16
American,11004,4
American,11005,14
American,10199,14
American,10001,2249
American,10002,1651
American,10003,2483
American,10004,585
American,10005,318
American,10006,277
American,10007,586
American,10009,1635
American,10010,1295
American,10011,2102
American,10012,1819
American,10013,1819
American,10014,1956
American,10016,1936
American,10017,1776
American,10018,1835
American,10019,3401
American,10020,251
American,10021,710
American,10022,2306
American,10023,678
American,10024,753
American,10025,758
American,10026,469
American,10027,652
American,10028,892
American,10029,598
American,10030,60
American,10031,332
American,10032,328
American,10033,156
American,10034,373
American,10035,182
American,10036,3223
American,10037,136
American,10038,808
American,10039,55
American,10040,161
American,10044,24
American,10048,6
American,10057,12
American,10065,788
American,10069,29
American,10075,321
American,11101,1541
American,11102,296
American,11103,563
American,11104,361
American,11105,326
American,11106,400
American,11109,39
American,10104,34
American,10105,13
American,10106,4
American,10111,26
American,10112,30
American,10118,22
American,10119,46
American,10121,138
American,10128,690
American,10152,9
American,10153,16
American,10155,7
American,11693,128
American,11694,115
American,11697,46
American,10165,14
American,10167,24
American,10168,5
American,10169,5
American,10171,10
American,10176,12
American,11201,1606
American,10178,2
American,11203,149
American,11204,97
American,11205,540
American,11206,509
American,11207,279
American,11208,72
American,11209,1108
American,11210,99
American,11211,1844
American,11212,110
American,11213,164
American,11214,240
American,11215,1296
American,11216,355
American,11217,1171
American,11218,314
American,11219,46
American,11220,338
American,11221,211
American,11222,898
American,11223,305
American,11224,340
American,11225,256
American,11226,297
American,11228,175
American,11229,181
American,11230,148
American,11231,930
American,11232,222
American,11233,174
American,11234,469
American,11235,446
American,11236,151
American,11237,641
American,11238,1264
American,11239,52
American,11245,1
American,11249,935
American,11256,20
Chinese,10280,19
Chinese,10281,28
Chinese,10301,105
Chinese,10302,157
Chinese,10303,27
Chinese,10304,92
Chinese,10305,122
Chinese,10306,158
Chinese,10307,45
Chinese,10308,69
Chinese,10309,71
Chinese,10310,37
Chinese,10312,100
Chinese,10314,182
Chinese,11352,41
Chinese,11354,2557
Chinese,11355,1910
Chinese,11356,124
Chinese,11357,53
Chinese,11358,110
Chinese,11360,18
Chinese,11361,130
Chinese,11362,195
Chinese,11363,36
Chinese,11364,151
Chinese,11365,109
Chinese,11366,92
Chinese,11367,111
Chinese,11368,321
Chinese,11369,71
Chinese,11370,49
Chinese,11372,310
Chinese,11373,547
Chinese,11374,104
Chinese,11375,243
Chinese,11377,225
Chinese,11378,183
Chinese,11379,90
Chinese,11385,273
Chinese,11411,98
Chinese,11412,100
Chinese,11413,104
Chinese,11414,74
Chinese,11415,33
Chinese,11416,115
Chinese,11417,172
Chinese,11418,116
Chinese,11419,274
Chinese,11420,137
Chinese,11421,156
Chinese,11422,57
Chinese,11423,34
Chinese,11426,67
Chinese,11427,64
Chinese,11428,68
Chinese,11429,64
Chinese,11430,16
Chinese,11432,349
Chinese,11433,41
Chinese,11434,196
Chinese,11435,267
Chinese,11436,64
Chinese,10016,413
Chinese,10451,169
Chinese,10452,261
Chinese,10453,224
Chinese,10454,142
Chinese,10455,140
Chinese,10456,250
Chinese,10457,160
Chinese,10458,293
Chinese,10459,146
Chinese,10460,121
Chinese,10461,230
Chinese,10462,238
Chinese,10463,155
Chinese,10464,16
Chinese,10465,84
Chinese,10466,202
Chinese,10467,335
Chinese,10468,144
Chinese,10469,137
Chinese,10470,51
Chinese,10471,64
Chinese,10472,196
Chinese,10473,103
Chinese,10474,49
Chinese,10475,107
Chinese,11004,29
Chinese,10001,209
Chinese,10002,1976
Chinese,10003,467
Chinese,10004,29
Chinese,10005,13
Chinese,10006,61
Chinese,10007,8
Chinese,10009,135
Chinese,10010,164
Chinese,10011,272
Chinese,10012,89
Chinese,10013,2066
Chinese,10014,76
Chinese,11040,67
Chinese,10017,118
Chinese,10018,298
Chinese,10019,345
Chinese,10021,96
Chinese,10022,306
Chinese,10023,81
Chinese,10024,136
Chinese,10025,355
Chinese,10026,79
Chinese,10027,154
Chinese,10028,96
Chinese,10029,258
Chinese,10030,31
Chinese,10031,181
Chinese,10032,174
Chinese,10033,150
Chinese,10034,59
Chinese,10035,95
Chinese,10036,308
Chinese,10037,50
Chinese,10038,224
Chinese,10039,72
Chinese,10040,38
Chinese,10065,51
Chinese,10075,54
Chinese,11101,127
Chinese,11102,62
Chinese,11103,76
Chinese,11104,92
Chinese,11105,123
Chinese,11106,230
Chinese,11109,23
Chinese,10128,182
Chinese,11691,154
